ComplaintID,Complaint,Category,Urgency
CMP_10032,The exam paper leaked online an hour prior to the scheduled examination schedule.,Academic,High
CMP_10033,The grades for the semester final exams haven't been updated even after 3 weeks of submission.,Academic,Medium
CMP_10034,"The corridor lights on the fourth floor are not working, making it pitch dark at night.",Electricity,Medium
CMP_10035,The main circuit breaker keeps tripping every time the air conditioner is turned on.,Electricity,High
CMP_10036,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10037,The breakfast was served cold today at the counter.,Mess,Low
CMP_10038,One of the three tube lights in room 575 has fused.,Electricity,Low
CMP_10039,The window latch in room 301 is loose and needs to be tightened.,Hostel,Low
CMP_10040,The exam paper leaked online an hour prior to the scheduled examination schedule.,Academic,High
CMP_10041,"The library structural pillars in the basement are showing deep cracks, causing panic.",Library,Critical
CMP_10042,The waiting time at the campus health center exceeded an hour for a routine checkup.,Medical,Low
CMP_10043,the plates and spoons provided in the dining hall are sticky and oily.,Mess,Low
CMP_10044,Mass scale technical malpractice detected during the online proctored placement exams.,Academic,Critical
CMP_10045,a critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10046,"The morning campus bus is severely overcrowded, forcing students to stand on the footboard.",Transport,Medium
CMP_10047,Essential primary medicines like paracetamol and antacids are out of stock at the pharmacy.,Medical,Medium
CMP_10048,Live naked electric wires are exposed in the hallway of the fourth floor near the water cooler.,Electricity,Critical
CMP_10049,A caterpillar and dead flies were found in the vegetable curry served during dinner.,Mess,High
CMP_10050,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_10051,Firewalls are blocking access to critical academic research servers and repository sites entirely.,Internet,Critical
CMP_10052,The main entry door lock for room 452 is rally completely broken and cannt be locked.,Hostel,High
CMP_10053,Complete network outage across the entire Boys Hostel Block B block preventing project submissions.,Internet,High
CMP_10054,No hot water supply in the showers of Hostel 9 during early morning hours.,Plumbing,Medium
CMP_10055,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_10056,"The library structural pillars in the basement are showing deep cracks, causing panic.",Library,Critical
CMP_10057,"The corridor lights on the second floor are not working, making it pitch dark at night.",Electricity,Medium
CMP_10058,One of the three tube lights in room 126 has fused.,Electricity,Low
CMP_10059,The balcony railing on the ground floor of Hostel 5 is completely detached and hanging.,Hostel,Critical
CMP_10060,bedbugs found in the mattress provided in room 382 of boys hostel block b.,Hostel,Medium
CMP_10061,Bedbugs found in the mattress provided in room 136 of PG Married Hostel.,Hostel,Medium
CMP_10062,The grip tape on the badminton racquets in the inventory is completely worn out.,Sports,Low
CMP_10063,wifi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_10064,One of the three tube lights in room 116 has fused.,Electricity,Low
CMP_10065,The elevator in Girls Hostel Block D is jerking badly while moving between floors.,Hostel,Medium
CMP_10066,The breakfast was served cold today at the counter.,Mess,Low
CMP_10067,The indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_10068,The ceiling fan in room 583 is making a slight clicking sound.,Hostel,Low
CMP_10069,The grades for the semester final exams haven't been updated even after 3 weeks of submission.,Academic,Medium
CMP_10070,The main fiber optic line to the engineering department block was cut during construction work.,Internet,Critical
CMP_10071,The driver of route B-01 was driving extremely recklessly and speeding over speed bumps.,Transport,High
CMP_10072,The brakes of campus bus number B-04 failed completely while descending the hill road.,Transport,Critical
CMP_10073,"The swimming pool water is green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_10074,The fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_10075,The toilet flush mechanism in bathroom 3 is broken and not working.,Plumbing,Medium
CMP_10076,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_10077,The page load time for the student portal is very high on the campus network.,Internet,Low
CMP_10078,Complete network outage across the entire Hostel 9 block preventing project submissions.,Internet,High
CMP_10079,A violent physical brawl broke out between two large student groups in the main corridor.,Security,Critical
CMP_10080,LAN connection port in room 293 is physically damaged and loose.,Internet,Medium
CMP_10081,No hot water supply in the showers of Boys Hostel Block B during early morning hours.,Plumbing,Medium
CMP_10082,A bicycle locked near block Boys Hostel Block B was stolen during broad daylight.,Security,Medium
CMP_10083,A gas cylinder regulator valve in the chemical laboratory is jammed and leaking a distinct smell.,Laboratory,High
CMP_10084,Live naked electric wires are exposed in the hallway of the third floor near the water cooler.,Electricity,Critical
CMP_10085,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_10086,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_10087,one of the external streetlights near the parking lot is flickering.,Security,Low
CMP_10088,The mouse attached to computer terminal 9 in the computer lab is malfunctioning.,Laboratory,Low
CMP_10089,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_10090,Severe water leakage from the ceiling in room 479 damaging personal belongings.,Hostel,High
CMP_10091,The digital thermometer at the campus clinic is rally out of battery and nt replaced.,Medical,Medium
CMP_10092,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_10093,"The corridor lights on the fourth floor are not working, making it pitch dark at night.",Electricity,Medium
CMP_10094,The CCTV camera covering the main entrance of Hostel 9 is out of focus and blurred.,Security,Medium
CMP_10095,the seat covers on campus bus number b-07 are torn and dirty.,Transport,Low
CMP_10096,Water drain in the common washroom is slow to clear.,Plumbing,Low
CMP_10097,Several pages are torn or missing from the core reference book for course code MA-201.,Library,Medium
CMP_10098,A caterpillar and dead flies were found in the vegetable curry served during dinner.,Mess,High
CMP_10099,The seat covers on campus bus number B-01 are torn and dirty.,Transport,Low
CMP_10100,The visitor logbook at the entrance gate is not being filled out properly by guards.,Security,Low
CMP_10101,The glass burettes in the chemistry lab have faint graduation marks that are hard to read.,Laboratory,Low
CMP_10102,A dangerous chemical spill of concentrated sulfuric acid occurred on bench 13.,Laboratory,Critical
CMP_10103,Oscilloscope number 25 in the electronics lab shows a distorted calibration line.,Laboratory,Medium
CMP_10104,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_10105,A major collision involving the university transport bus occurred near the main city crossing.,Transport,Critical
CMP_10106,"the quality of the lunch provided today was extremely poor, the rice was half-cooked.",Mess,Medium
CMP_10107,Complete lack of running water in the entire hostel building since morning.,Plumbing,High
CMP_10108,The driver of route Shuttle-C was driving extremely recklessly and speeding over speed bumps.,Transport,High
CMP_10109,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_10110,The indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_10111,a gas cylinder regulator valve in the chemical laboratory is jammed and leaking a distinct smell.,Laboratory,High
CMP_10112,Complete lack of running water in the entire hostel building since morning.,Plumbing,High
CMP_10113,One of the external streetlights near the parking lot is flickering.,Security,Low
CMP_10114,"The swimming pool water is rally green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_10115,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_10116,A student is rally unconscious and unresponsive in room 298 following a sudden seizure.,Medical,Critical
CMP_10117,The breakfast was served cold today at the counter.,Mess,Low
CMP_10118,The WiFi network speed in Hostel 9 has dropped below 1 Mbps since yesterday.,Internet,Medium
CMP_10119,A major collision involving the university transport bus occurred near the main city crossing.,Transport,Critical
CMP_10120,The driver of route Shuttle-C was driving extremely recklessly and speeding over speed bumps.,Transport,High
CMP_10121,Water drain in the common washroom is rally slow to clear.,Plumbing,Low
CMP_10122,The barcode scanner at the return counter is failing to scan books quickly.,Library,Low
CMP_10123,The whiteboard markers provided to professors are mostly dried up and unreadable.,Academic,Low
CMP_10124,Several pages are torn or missing from the core reference book for course code CH-111.,Library,Medium
CMP_10125,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_10126,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10127,Live naked electric wires are exposed in the hallway of the fourth floor near the water cooler.,Electricity,Critical
CMP_10128,"A heavy steel goalpost tip-over occurred, pinning a student player to the ground.",Sports,Critical
CMP_10129,A violent physical brawl broke out between two large student groups in the main corridor.,Security,Critical
CMP_10130,The digital thermometer at the campus clinic is out of battery and not replaced.,Medical,Medium
CMP_10131,The digital thermometer at the campus clinic is out of battery and not replaced.,Medical,Medium
CMP_10132,The waiting time at the campus health center exceeded an hour for a routine checkup.,Medical,Low
CMP_10133,One of the three tube lights in room 222 has fused.,Electricity,Low
CMP_10134,frequent voltage fluctuations in hostel 5 are causing laptops to restart continuously.,Electricity,Medium
CMP_10135,"The swimming pool water is green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_10136,The barcode scanner at the return counter is failing to scan books quickly.,Library,Low
CMP_10137,The air conditioning in the long-route university bus number Shuttle-A is rally completely broken.,Transport,Medium
CMP_10138,"The authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_10139,Complete network outage across the entire Girls Hostel Block C block preventing project submissions.,Internet,High
CMP_10140,Complete power blackout in the entire wing of Boys Hostel Block A for over 6 hours.,Electricity,High
CMP_10141,The automated emergency fire suppression sprinklers in the main book stack area went off falsely.,Library,Critical
CMP_10142,"The main water pipeline has burst, causing massive flooding in the basement of Hostel 5.",Plumbing,High
CMP_10143,More than 15 students have reported severe stomach aches and vomiting after eating at the mess.,Mess,High
CMP_10144,The automated book search kiosk terminal is running extremely slowly.,Library,Low
CMP_10145,A group of outsiders are picking fights and ragging students outside the main campus gate.,Security,High
CMP_10146,"An emergency patient arrived, but the campus ambulance oxygen cylinder was found empty.",Medical,High
CMP_10147,"An emergency patient arrived, but the campus ambulance oxygen cylinder was found empty.",Medical,High
CMP_10148,The exam paper leaked online an hour prior to the scheduled examination schedule.,Academic,High
CMP_10149,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_10150,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_10151,The brakes of campus bus number B-12 failed completely while descending the hill road.,Transport,Critical
CMP_10152,Live naked electric wires are exposed in the hallway of the second floor near the water cooler.,Electricity,Critical
CMP_10153,The glass burettes in the chemistry lab have faint graduation marks that are hard to read.,Laboratory,Low
CMP_10154,The elevator in Hostel 9 is jerking badly while moving between floors.,Hostel,Medium
CMP_10155,Rainwater is leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_10156,"The morning campus bus is severely overcrowded, forcing students to stand on the footboard.",Transport,Medium
CMP_10157,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_10158,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_10159,The CCTV camera covering the main entrance of PG Married Hostel is out of focus and blurred.,Security,Medium
CMP_10160,The washbasin tap in room 356 is dripping slowly continuously.,Plumbing,Low
CMP_10161,LAN connection port in room 555 is physically damaged and loose.,Internet,Medium
CMP_10162,The balcony railing on the second floor of Girls Hostel Block C is rally completely detached and hanging.,Hostel,Critical
CMP_10163,The elevator in Girls Hostel Block C is jerking badly while moving between floors.,Hostel,Medium
CMP_10164,"A large chunk of plaster fell from the ceiling in room 269, narrowly missing a student.",Hostel,Critical
CMP_10165,"The swimming pool water is green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_10166,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_10167,The projector screen in classroom 335 is rally manually jammed and won't roll down smoothly.,Academic,Low
CMP_10168,Live naked electric wires are exposed in the hallway of the first floor near the water cooler.,Electricity,Critical
CMP_10169,The indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_10170,The ceiling fan in room 323 is making a slight clicking sound.,Hostel,Low
CMP_10171,Sewage backflow coming out of the floor drains in the ground floor bathrooms.,Plumbing,Critical
CMP_10172,The driver of route Shuttle-A was driving extremely recklessly and speeding over speed bumps.,Transport,High
CMP_10173,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_10174,The digital thermometer at the campus clinic is rally out of battery and nt replaced.,Medical,Medium
CMP_10175,"The swimming pool water is rally green, murky, and causing skin rashes due to lack of filtration.",Sports,High
CMP_10176,No hot water supply in the showers of Girls Hostel Block D during early morning hours.,Plumbing,Medium
CMP_10177,No hot water supply in the showers of Boys Hostel Block A during early morning hours.,Plumbing,Medium
CMP_10178,Water drain in the common washroom is slow to clear.,Plumbing,Low
CMP_10179,a bicycle locked near block hostel 9 was stolen during broad daylight.,Security,Medium
CMP_10180,A student is unconscious and unresponsive in room 322 following a sudden seizure.,Medical,Critical
CMP_10181,an entire batch's official physical final marksheets and degree registry files were destroyed.,Academic,Critical
CMP_10182,The glass burettes in the chemistry lab have faint graduation marks that are hard to read.,Laboratory,Low
CMP_10183,An entire batch's official physical final marksheets and degree registry files were destroyed.,Academic,Critical
CMP_10184,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10185,"The corridor lights on the third floor are not working, making it pitch dark at night.",Electricity,Medium
CMP_10186,The indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_10187,The air conditioning in the long-route university bus number B-04 is rally completely broken.,Transport,Medium
CMP_10188,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10189,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_10190,"The morning campus bus is severely overcrowded, forcing students to stand on the footboard.",Transport,Medium
CMP_10191,one of the three tube lights in room 234 has fused.,Electricity,Low
CMP_10192,A gas cylinder regulator valve in the chemical laboratory is jammed and leaking a distinct smell.,Laboratory,High
CMP_10193,No hot water supply in the showers of Girls Hostel Block C during early morning hours.,Plumbing,Medium
CMP_10194,The automated book search kiosk terminal is running extremely slowly.,Library,Low
CMP_10195,"The morning campus bus is severely overcrowded, forcing students to stand on the footboard.",Transport,Medium
CMP_10196,The projector screen in classroom 204 is manually jammed and won't roll down smoothly.,Academic,Low
CMP_10197,The balcony railing on the first floor of Hostel 5 is completely detached and hanging.,Hostel,Critical
CMP_10198,No hot water supply in the showers of Hostel 9 during early morning hours.,Plumbing,Medium
CMP_10199,Bedbugs found in the mattress provided in room 353 of PG Married Hostel.,Hostel,Medium
CMP_10200,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10201,A caterpillar and dead flies were found in the vegetable curry served during dinner.,Mess,High
CMP_10202,The seat covers on campus bus number Shuttle-C are torn and dirty.,Transport,Low
CMP_10203,The study lamp socket on table 19 is not drawing any power.,Electricity,Low
CMP_10204,The elevator in Girls Hostel Block D is jerking badly while moving between floors.,Hostel,Medium
CMP_10205,the indoor gym equipment cable snapped while a student was lifting heavy weights.,Sports,High
CMP_10206,A professor is refusing to accept legitimate medical certificates for mandatory attendance criteria.,Academic,High
CMP_10207,"The main water pipeline has burst, causing massive flooding in the basement of Hostel 5.",Plumbing,High
CMP_10208,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10209,The cooking staff are using severely expired ingredients and rotten meat in the kitchen.,Mess,Critical
CMP_10210,the fume hood in the organic chemistry lab has very weak suction and ventilation.,Laboratory,Medium
CMP_10211,the main entry door lock for room 207 is rally completely broken and cannt be locked.,Hostel,High
CMP_10212,"A large chunk of plaster fell from the ceiling in room 526, narrowly missing a student.",Hostel,Critical
CMP_10213,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_10214,The mouse attached to computer terminal 13 in the computer lab is malfunctioning.,Laboratory,Low
CMP_10215,one of the external streetlights near the parking lot is flickering.,Security,Low
CMP_10216,No hot water supply in the showers of Boys Hostel Block A during early morning hours.,Plumbing,Medium
CMP_10217,Rainwater is leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_10218,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_10219,the toilet flush mechanism in bathroom 5 is rally broken and nt workin.,Plumbing,Medium
CMP_10220,Toxic chemical cleaning agent accidentally spilled into the major cooking vessel containing soup.,Mess,Critical
CMP_10221,Rainwater is leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_10222,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10223,The grades for the semester final exams haven't been updated even after 3 weeks of submission.,Academic,Medium
CMP_10224,Toxic chemical cleaning agent accidentally spilled into the major cooking vessel containing soup.,Mess,Critical
CMP_10225,Rainwater is leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_10226,"the authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_10227,the grades for the semester final exams haven't been updated even after 3 weeks of submission.,Academic,Medium
CMP_10228,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_10229,The elevator in Girls Hostel Block D is jerking badly while moving between floors.,Hostel,Medium
CMP_10230,The mouse attached to computer terminal 4 in the computer lab is malfunctioning.,Laboratory,Low
CMP_10231,Toxic chemical cleaning agent accidentally spilled into the major cooking vessel containing soup.,Mess,Critical
CMP_10232,"The morning campus bus is rally severely overcrowded, forcing students to stand on the footboard.",Transport,Medium
CMP_10233,"The spectator stands collapsed during the annual track event, injuring several onlookers.",Sports,Critical
CMP_10234,The mouse attached to computer terminal 23 in the computer lab is malfunctioning.,Laboratory,Low
CMP_10235,The air conditioning in the long-route university bus number B-04 is completely broken.,Transport,Medium
CMP_10236,Essential primary medicines like paracetamol and antacids are out of stock at the pharmacy.,Medical,Medium
CMP_10237,The whiteboard markers provided to professors are mostly dried up and unreadable.,Academic,Low
CMP_10238,"the main water pipeline has burst, causing massive flooding in the basement of boys hostel block a.",Plumbing,High
CMP_10239,The grip tape on the badminton racquets in the inventory is completely worn out.,Sports,Low
CMP_10240,LAN connection port in room 332 is physically damaged and loose.,Internet,Medium
CMP_10241,"A heavy steel goalpost tip-over occurred, pinning a student player to the ground.",Sports,Critical
CMP_10242,"The quality of the lunch provided today was extremely poor, the rice was half-cooked.",Mess,Medium
CMP_10243,"The authentication gateway server is down, preventing any student from logging into the internet.",Internet,High
CMP_10244,A major collision involving the university transport bus occurred near the main city crossing.,Transport,Critical
CMP_10245,One of the external streetlights near the parking lot is flickering.,Security,Low
CMP_10246,"The corridor lights on the second floor are nt workin, making it pitch dark at night.",Electricity,Medium
CMP_10247,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_10248,"The main water pipeline has burst, causing massive flooding in the basement of Girls Hostel Block D.",Plumbing,High
CMP_10249,The nylon net on the basketball hoop is torn and needs replacement.,Sports,Low
CMP_10250,Sparking and a burning plastic smell coming from the distribution board near room 162.,Electricity,Critical
CMP_10251,Rainwater is leaking from the roof directly onto the rare manuscript and book archive section.,Library,High
CMP_10252,The online portal failed to register the elective course preferences due to a script error.,Academic,Medium
CMP_10253,several pages are torn or missing from the core reference book for course code ph-102.,Library,Medium
CMP_10254,The evening shuttle bus arrived 20 minutes later than the scheduled timetable.,Transport,Low
CMP_10255,The grip tape on the badminton racquets in the inventory is completely worn out.,Sports,Low
CMP_10256,The air conditioning in the long-route university bus number Shuttle-C is completely broken.,Transport,Medium
CMP_10257,"The main water pipeline has burst, causing massive flooding in the basement of Boys Hostel Block B.",Plumbing,High
CMP_10258,Sewage backflow coming out of the floor drains in the ground floor bathrooms.,Plumbing,Critical
CMP_10259,One of the three tube lights in room 443 has fused.,Electricity,Low
CMP_10260,"A large chunk of plaster fell from the ceiling in room 307, narrowly missing a student.",Hostel,Critical
CMP_10261,The main entry door lock for room 391 is completely broken and cannot be locked.,Hostel,High
CMP_10262,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_10263,The digital library portal is completely inaccessible right before the mid-term examinations.,Library,High
CMP_10264,The automated emergency fire suppression sprinklers in the main book stack area went off falsely.,Library,Critical
CMP_10265,"An emergency patient arrived, but the campus ambulance oxygen cylinder was found empty.",Medical,High
CMP_10266,The brakes of campus bus number B-12 failed completely while descending the hill road.,Transport,Critical
CMP_10267,The page load time for the student portal is very high on the campus network.,Internet,Low
CMP_10268,Oscilloscope number 17 in the electronics lab shows a distorted calibration line.,Laboratory,Medium
CMP_10269,The on-duty doctor was absent during the specified night shift hours at the clinic.,Medical,High
CMP_10270,The exam paper leaked online an hour prior to the scheduled examination schedule.,Academic,High
CMP_10271,Complete power blackout in the entire wing of Boys Hostel Block A for over 6 hours.,Electricity,High
CMP_10272,"the morning campus bus is severely overcrowded, forcing students to stand on the footboard.",Transport,Medium
CMP_10273,frequent voltage fluctuations in girls hostel block d are causing laptops to restart continuously.,Electricity,Medium
CMP_10274,The barcode scanner at the return counter is rally failing to scan books quickly.,Library,Low
CMP_10275,A gas cylinder regulator valve in the chemical laboratory is jammed and leaking a distinct smell.,Laboratory,High
CMP_10276,The on-duty doctor was absent during the specified night shift hours at the clinic.,Medical,High
CMP_10277,The biosafety cabinet ventilation failed while handling pathogenic bacterial samples.,Laboratory,Critical
CMP_10278,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_10279,Water drain in the common washroom is slow to clear.,Plumbing,Low
CMP_10280,Mass scale technical malpractice detected during the online proctored placement exams.,Academic,Critical
CMP_10281,Frequent voltage fluctuations in Hostel 5 are causing laptops to restart continuously.,Electricity,Medium
CMP_10282,The balcony railing on the third floor of Hostel 5 is completely detached and hanging.,Hostel,Critical
CMP_10283,The mouse attached to computer terminal 28 in the computer lab is malfunctioning.,Laboratory,Low
CMP_10284,The barcode scanner at the return counter is failing to scan books quickly.,Library,Low
CMP_10285,The automated emergency fire suppression sprinklers in the main book stack area went off falsely.,Library,Critical
CMP_10286,Toxic chemical cleaning agent accidentally spilled into the major cooking vessel containing soup.,Mess,Critical
CMP_10287,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_10288,The glass burettes in the chemistry lab have faint graduation marks that are hard to read.,Laboratory,Low
CMP_10289,The air conditioning in the long-route university bus number Shuttle-A is completely broken.,Transport,Medium
CMP_10290,"The corridor lights on the third floor are not working, making it pitch dark at night.",Electricity,Medium
CMP_10291,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_10292,"The overhead water tank is overflowing heavily, leaking directly into the main electric generator room.",Plumbing,Critical
CMP_10293,Mass scale technical malpractice detected during the online proctored placement exams.,Academic,Critical
CMP_10294,The nylon net on the basketball hoop is rally torn and needs replacement.,Sports,Low
CMP_10295,the page load time for the student portal is very high on the campus network.,Internet,Low
CMP_10296,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_10297,An armed intruder managed to scale the boundary wall and enter the girls' hostel campus.,Security,Critical
CMP_10298,The weight scale machine at the triage counter shows incorrect calibration metrics.,Medical,Low
CMP_10299,A violent physical brawl broke out between two large student groups in the main corridor.,Security,Critical
CMP_10300,The window latch in room 356 is loose and needs to be tightened.,Hostel,Low
CMP_10301,Complete lack of running water in the entire hostel building since morning.,Plumbing,High
CMP_10302,Mass scale technical malpractice detected during the online proctored placement exams.,Academic,Critical
CMP_10303,The evening shuttle bus arrived 20 minutes later than the scheduled timetable.,Transport,Low
CMP_10304,A dangerous chemical spill of concentrated sulfuric acid occurred on bench 36.,Laboratory,Critical
CMP_10305,The plates and spoons provided in the dining hall are sticky and oily.,Mess,Low
CMP_10306,The drinking water dispenser in the mess area has a strange muddy taste.,Mess,Medium
CMP_10307,An entire batch's official physical final marksheets and degree registry files were destroyed.,Academic,Critical
CMP_10308,"The library structural pillars in the basement are showing deep cracks, causing panic.",Library,Critical
CMP_10309,The college bus broke down in the middle of a deserted highway during an intercity trip.,Transport,High
CMP_10310,The visitor logbook at the entrance gate is not being filled out properly by guards.,Security,Low
CMP_10311,the grades for the semester final exams haven't been updated even after 3 weeks of submission.,Academic,Medium
CMP_10312,The barcode scanner at the return counter is failing to scan books quickly.,Library,Low
CMP_10313,Several pages are torn or missing from the core reference book for course code CS-101.,Library,Medium
CMP_10314,LAN connection port in room 262 is rally physically damaged and loose.,Internet,Medium
CMP_10315,"The synthetic track surface near the curve has peeled off, posing a tripping hazard.",Sports,Medium
CMP_10316,The main server rack hosting all student terminal virtual machines has crashed entirely.,Laboratory,High
CMP_10317,"A heavy steel goalpost tip-over occurred, pinning a student player to the ground.",Sports,Critical
CMP_10318,WiFi keeps disconnecting every 30 minutes in the common room.,Internet,Low
CMP_10319,The main circuit breaker keeps tripping every time the air conditioner is turned on.,Electricity,High
CMP_10320,An armed intruder managed to scale the boundary wall and enter the girls' hostel campus.,Security,Critical
CMP_10321,A critical cardiac emergency occurred at the sports arena and the emergency response was delayed.,Medical,Critical
CMP_10322,the ceiling fan in room 438 is making a slight clicking sound.,Hostel,Low
CMP_10323,The barcode scanner at the return counter is failing to scan books quickly.,Library,Low
CMP_10324,Oscilloscope number 23 in the electronics lab shows a distorted calibration line.,Laboratory,Medium
CMP_10325,A gas cylinder regulator valve in the chemical laboratory is jammed and leaking a distinct smell.,Laboratory,High
CMP_10326,"A large chunk of plaster fell from the ceiling in room 514, narrowly missing a student.",Hostel,Critical
